age,sex,dis_costs,QALYs,costs,dis_lys,lys
45,male,224382.2130627331,12.564163265465028,572265.1351652027,15.670381965585053,32.31230426276572
46,male,225824.56483845515,12.368938654567566,564110.5853535767,15.47812450904761,31.46318208841357
47,male,227425.3129680513,12.167291083457409,556104.6435705541,15.280345142131697,30.620115468005846
48,male,229203.5496863493,11.959220803524246,548264.2367271807,15.077182389083646,29.78371946776001
49,male,231180.03375803123,11.744707015220689,540606.1106289108,14.868764985619118,28.95454693980154
50,male,233376.88022098975,11.52367958435745,533145.7827276438,14.655180264966399,28.133031658726708
51,male,235817.57200657862,11.322008570074045,525897.3289599419,14.436463368854398,27.319478066303237
52,male,238529.9478399219,11.115138364704947,518879.5066228377,14.212755929457616,26.514369194173327
53,male,241543.81611607884,10.903062972033577,512109.6742439137,13.984143758553705,25.718048068747017
54,male,244892.79143911478,10.685790120547928,505607.15590046684,13.750739884709537,24.930880954018818
55,male,248615.08643828263,10.46335119866022,499393.91515688464,13.512698159732459,24.153277822980595
56,male,252753.72007991088,10.235780439865259,493493.8769904864,13.270190549146077,23.38564618240503
57,male,257358.62659703626,10.003169403497507,487935.77188369853,13.023474811938414,22.62850714252094
58,male,262485.2191964206,9.765567036935032,482748.89033911575,12.772777901900817,21.882281865629963
59,male,268197.1728630095,9.523048848775616,477966.8419277271,12.518382225707674,21.14744534804859
60,male,274566.44228337187,9.275665954064875,473625.72182760783,12.260568522469407,20.42442364875559
61,male,268205.068083327,9.044489739955718,456295.98573774187,11.999674694800763,19.713693382181926
62,male,261776.639476092,8.809959047108086,439276.05833322735,11.736030819673216,19.01566904536879
63,male,255288.32737533093,8.572195625087666,422573.5335733741,11.46993099189316,18.330662083147033
64,male,248747.96236218067,8.331324301070715,406196.12514362927,11.201696360668528,17.658988850577416
65,male,242161.5553676271,8.087386220028899,390147.75842140144,10.931573447386588,17.000810335947236
66,male,235536.49422480277,7.840441999636921,374433.8260249495,10.659865243194144,16.356347702290513
67,male,228887.85089740588,7.590775974633211,359070.5646122429,10.387189882188652,15.726266850356515
68,male,222210.1731281833,7.337950584755994,344041.76330450544,10.11332375541087,15.10990293665691
69,male,215529.3549857537,7.082522091472213,329378.47976473864,9.839328835079922,14.508529703676281
70,male,208848.41100868917,6.824230336528701,315075.3783262589,9.565328753996187,13.921928324088864
71,male,202118.41364490837,6.599051369253227,301052.4871483127,9.289316886556554,13.346818978317385
72,male,195422.06070328548,6.374510346806519,287423.18576237996,9.014684850235227,12.78785160818521
73,male,188743.90377265963,6.150028079083783,274153.32810151635,8.740799072003435,12.243625809027458
74,male,182090.7740544036,5.925737864097955,261241.97947269471,8.467939714325706,11.714103247044854
75,male,175472.47030162287,5.7018502574523495,248691.88827597824,8.19650864543423,11.199396640117227
76,male,168892.83408299118,5.478357610690278,236497.06068683346,7.926663416437324,10.699260168430198
77,male,162369.11901419502,5.255657200608168,224669.41843471336,7.659111635737811,10.21418276810538
78,male,155895.87876376865,5.033370623705446,213189.44981785768,7.393629937405923,9.743364221706008
79,male,149463.26949989924,4.810930328116777,202033.01953125471,7.129814604433386,9.285814687743706
80,male,143118.30596046816,4.589539443374259,191250.76952779086,6.869593813741879,8.843611103137059
81,male,136853.54982613082,4.388558023129537,180819.28933484503,6.612662503634945,8.41579335335459
82,male,130661.48622998879,4.189896782005829,170716.3031533175,6.358712473034032,8.001447859300233
83,male,124533.80707770839,3.993286649221262,160919.73125525468,6.107402988873737,7.599669083183144
84,male,118470.27223857936,3.7987164995118894,151418.64215566593,5.8587242028700075,7.2100087009664895
85,male,112464.49619096945,3.6059771007079773,142194.95173579874,5.612414230856314,6.831725043505671
86,male,106512.93400949161,3.414948873647377,133234.92048480906,5.368327687712407,6.46425462350035
87,male,100623.44114585951,3.225875751048965,124538.98327650421,5.126786742642806,6.107615276073668
88,male,94803.48684140808,3.0389863762966303,116106.50104040057,4.888097725522211,5.761780791551514
89,male,89047.96716623694,2.854102166210414,107921.4837885288,4.652051313055693,5.426095385659222
90,male,83373.623390015,2.671738721141411,99993.56921500282,4.419334101218679,5.100954321248528
91,male,77783.24269570662,2.4919551851640023,92314.4905656565,4.190060398462315,4.786018560704444
92,male,72279.8325004818,2.3148038656417542,84875.20241776283,3.9643535455227736,4.480917131516335
93,male,66731.80222489646,2.136004775481022,77514.4517518551,3.7368167257883145,4.179036695724689
94,male,61225.58525436545,1.9582279097637914,70323.0768771383,3.5109947608729626,3.8841027304736206
95,male,55533.45668314667,1.7740333196685725,63037.208922834514,3.2775481558112896,3.5852933979754136
96,male,49575.14092764351,1.5806155132929343,55570.77166529499,3.0331846338696433,3.2790785245989
97,male,43150.9133484543,1.3711991460749569,47713.65028781192,2.7697130520630893,2.9568408435308173
98,male,35893.699649608585,1.1334023095717525,39093.47724185635,2.472078893065192,2.603308749614746
99,male,27186.85199881706,0.846402475373421,29109.471358539857,2.1149920846006256,2.1938428970405552
100,male,15895.66336951728,0.4719870516150806,16690.446537993146,1.6519158171479016,1.6845116080052964
45,female,270116.70071926515,12.894670185888048,692372.2867825085,16.584723468562526,35.88044157266114
46,female,270765.41696968727,12.708000186402566,680469.0547567034,16.40214771280935,34.96184098955691
47,female,271511.76222421136,12.514524426914726,668690.2771140442,16.21361380491002,34.0486945423722
48,female,272368.02019987436,12.314109044265766,657046.9529819189,16.019102382628027,33.14139611279942
49,female,273347.475366457,12.106602878540741,645549.8563282373,15.818586045860782,32.24030349842975
50,female,274464.3471713176,11.891827953548766,634209.1888090333,15.61201911271371,31.345720248435118
51,female,275735.19664504466,11.695633752965271,623037.5069163137,15.39940576388179,30.458035017559446
52,female,277178.26798032364,11.493267664966103,612047.7214795391,15.180753008797245,29.57761961775339
53,female,278813.7715493297,11.284653025468595,601253.3321555889,14.956074514515977,28.704836638214466
54,female,280664.0805268711,11.06970737410786,590668.4045367866,14.725388096607942,27.840034219098307
55,female,282754.41519469005,10.8483571100944,580308.4786787604,14.488735425712077,26.983582879260247
56,female,285113.790694581,10.620558164063386,570191.7806660387,14.246209737689357,26.135922538105145
57,female,287775.34564148035,10.386287777814168,560338.9607858928,13.997948276806282,25.29753977396874
58,female,290776.0482543021,10.145511144198144,550771.6083762711,13.7440936411044,24.46889197543846
59,female,294158.3716040646,9.89821777727938,541514.4693813203,13.484842573903654,23.650493848194223
60,female,297970.1145669048,9.644384821456331,532593.890766175,13.220404157277812,22.842836843955837
61,female,291402.7973878583,9.41002419763008,513176.77931178873,12.951064158957395,22.046498761915625
62,female,284721.6502321499,9.170655167205021,494046.27776016045,12.677055745074435,21.261915176974142
63,female,277934.1928046855,8.92639342992945,475214.9947977259,12.398687315124691,20.489603198856813
64,female,271046.5803425753,8.67729159293107,456692.0517145424,12.116211308804306,19.72993691155897
65,female,264065.838822112,8.423407904864026,438486.9818728095,11.82991587672198,18.983307299053017
66,female,257000.03087824993,8.164807159180238,420609.90498152806,11.540131685118729,18.250129392672278
67,female,249858.77849871264,7.901571857601705,403072.2326747666,11.247253352692965,17.530871208414332
68,female,242653.38147014863,7.633798975879059,385886.6621983742,10.951744308335668,16.826053488019287
69,female,235393.5262170751,7.361487717989159,369061.99593088723,10.654001813438672,16.136037236225537
70,female,228090.15119408336,7.08462071440878,352607.7662048526,10.354474477877348,15.461213394777204
71,female,220709.78806798288,6.841733097893067,336466.8868545395,10.051789692325917,14.799240735534573
72,female,213325.72122522446,6.597679204945415,320742.1058123576,9.748953009277958,14.15433317525971
73,female,205925.227535609,6.351909487015261,305403.5257808225,9.44544262541972,13.52526456058822
74,female,198518.95912313808,6.104568796366712,290456.4017730699,9.141695407584711,12.912250411067957
75,female,191119.34427537804,5.85581736907222,275907.54856243666,8.838221066947382,12.31557021541388
76,female,183735.25750015836,5.605657013507123,261757.82027255328,8.535383566425724,11.735259003098601
77,female,176385.35675088374,5.354327073438378,248020.77920891024,8.233948109374719,11.17187299384449
78,female,169071.7747974637,5.101483732574893,234686.14632167964,7.934002165339118,10.624990621403422
79,female,161792.98382664856,4.846577233252197,221739.1501610055,7.635483075365977,10.094006076405918
80,female,154593.7019129932,4.590322773449004,209226.175203955,7.340224825205807,9.580821687403311
81,female,147476.2196321506,4.378984662005375,197134.35409055246,7.048321356361015,9.084909735904214
82,female,140439.12323741126,4.1700334341092455,185446.48905761234,6.759714687996195,8.605564904138635
83,female,133482.59711399834,3.9634745646776364,174148.1707132202,6.474412382151432,8.142196231522792
84,female,126612.42616760985,3.75947982386702,163232.52029420206,6.192651690424061,7.694521604978962
85,female,119831.11302573838,3.5581235217419755,152688.56243304568,5.914535251024825,7.262090900752394
86,female,113141.69629273216,3.3594958830307218,142506.22907746836,5.640187683744092,6.844491206064406
87,female,106553.53239022518,3.163874726265145,132683.18624770895,5.369992715835838,6.441626799315465
88,female,100072.3242589571,2.9714293878310665,123212.1959612195,5.104184237335728,6.0532008350580115
89,female,93696.86366455459,2.782123991844216,114077.61463329224,4.842712695917427,5.678571735770506
90,female,87438.41223377449,2.5962929277469025,105278.50294883383,4.586039955451523,5.317700978092681
91,female,81299.69178210317,2.414017013913083,96802.87563722835,4.334277643526356,4.970097019941283
92,female,75276.16981410624,2.235161667777259,88629.71944935496,4.087239872620525,4.634898062148012
93,female,69245.93579851805,2.0561070220287525,80605.7220383911,3.839926826006564,4.305816431054058
94,female,63288.14055981399,1.8792032877539815,72810.88486244484,3.5955846515938963,3.9861331609090285
95,female,57177.60291938628,1.6977642010267673,64981.51474081402,3.344978178213767,3.6650336193583244
96,female,50841.564576399804,1.509629362806605,57037.5946502787,3.0851234292908907,3.339236133793163
97,female,44078.165210817984,1.3088049711943657,48764.12869685591,2.8077416729203946,2.999923253777464
98,female,36515.29767756471,1.084242116169333,39781.2044668967,2.4975719836593,2.6315139427837715
99,female,27532.113165033363,0.8175060464866568,29482.114677785503,2.129151997909747,2.2091258121554156
100,female,16032.647276311922,0.4760544899335533,16834.27964012752,1.6575338258750736,1.6904105171688273
